i, Name, SOURCEID, J, H, K, Q,  S,exclude?,notes,exclusion COUNT:,9
71, 2MASS J03441973+3221110,44989782443120,14.23,13.49,12.98, Q2   ,0.64,,,,
72, 2MASS J03442027+3205437,44989782467954,14.23,13.39,12.85, Q2   ,1.15,,,,
73, IC 348 IRS J03442116+3206166,44989782467866,15.16,14.51,13.89, Q2   ,0.24,,,,
74, 2MASS J03442127+3212372,44989782440411,13.67,12.95,12.47, Q0   ,3.94,yes,double detection ruins data,,
75, 2MASS J03442156+3215098,44989782441281,12.97,12.28,11.92, Q2   ,5.01,,,,
76, 2MASS J03442186+3217273,44989782442388,13.82,13.05,12.54, Q1K  ,0.27,,,,
77, 2MASS J03442256+3201277,44989782467790,15.16,13.92,13.11, Q2   ,0.13,,,,
78, 2MASS J03442270+3201423,44989782467805,15.09,13.89,13.09, Q2   ,1.43,,,,
79, 2MASS J03442294+3214404,44989782441067,14.26,13.64,13.18, Q2   ,0.31,,,,
80, 2MASS J03442330+3201544,44989782467807,14.84,14.22,13.75, Q0   ,0.20,,,,
81, 2MASS J03442356+3209338,44989782467720,13.46,12.80,12.37, Q2   ,0.36,,,,
82, 2MASS J03442364+3201526,44989782467806,14.55,13.10,12.19, Q0   ,0.47,,,,
83, 2MASS J03442530+3210128,44989782467729,12.82,12.02,11.47, Q0   ,2.22,,,,
84, 2MASS J03442570+3215492,44989782441425,14.95,14.04,13.36, Q2   ,1.19,,,,
85, 2MASS J03442575+3209059,44989782467561,14.65,13.80,13.23, Q2   ,1.21,,,,
86, 2MASS J03442581+3210588,44989782467551,17.27,15.71,14.63, Q2   ,0.15,,,,
87, IC 348 IRS J03442593+3208054,44989782467534,19.29,18.37,17.46, Q1K  ,0.00,,,,
88, 2MASS J03442663+3203583,44989782467541,11.77,10.99,10.60, Q1J  ,2.87,??,,,
89, 2MASS J03442666+3202363,44989782467509,14.43,13.82,13.32, Q2   ,1.32,,,,
90, 2MASS J03442685+3209257,44989782467473,16.69,16.06,15.44, Q2   ,0.11,,,,
91, 2MASS J03442691+3212506,44989782440445,16.38,15.73,15.12, Q2   ,0.31,,,,
92, IC 348 IRS J03442717+3203466,44989782467457,17.17,16.38,15.65, Q2   ,-0.07,,,,
93, 2MASS J03442721+3220288,44989782442939,13.69,12.99,12.50, Q2   ,1.38,,,,
94, 2MASS J03442724+3210373,44989782467453,13.60,12.75,12.07, Q2   ,17.42,,,,
95, 2MASS J03442728+3207177,44989782467452,14.39,13.68,13.25, Q2   ,0.16,,,,
96, IC 348 IRS J03442747+3206241,44989782467413,19.46,19.12,18.17, Q0   ,  nan,,,,
97, 2MASS J03442798+3205196,44989782467400,14.84,14.24,13.79, Q2   ,0.80,,,,
98, 2MASS J03442887+3204229,44989782467337,15.05,14.36,13.79, Q2   ,0.63,,,,
99, 2MASS J03442912+3207573,44989782467299,13.61,12.91,12.51, Q1J  ,0.79,,,,
100, 2MASS J03442952+3204045,44989782467264,14.26,13.43,12.88, Q2   ,1.10,,,,
101, 2MASS J03442980+3200545,44989782467260,13.63,12.94,12.33, Q2   ,1.08,,,,
102, 2MASS J03442988+3159070,44989782425932,13.73,13.06,12.58, Q2   ,1.51,,,,
103, IC 348 IRS J03442990+3219210,44989782442592,15.05,14.32,13.68, Q0   ,8.81,??,"need to look more closely; if random, this is all artifacts",,
104, 2MASS J03442997+3209394,44989782467172,15.10,14.36,13.66, Q-1  ,5.22,,,,
105, 2MASS J03443005+3208489,44989782467183,14.59,13.81,13.16, Q2   ,5.47,,,,
106, 2MASS J03443035+3209446,44989782470707, nan, nan, nan, Q-1  ,  nan,yes,no data,,
107, 2MASS J03443095+3202441,44989782467118,15.47,14.50,13.71, Q2   ,1.41,,,,
108, 2MASS J03443103+3205460,44989782467281,14.03,13.28,12.77, Q2   ,1.13,,,,
109, 2MASS J03443120+3214471,44989782441097,15.34,14.27,13.56, Q2   ,1.36,,,,
110, IC 348 IRS J03443133+3208114,44989782467070,17.44,16.82,16.18, Q2   ,0.48,,,,
111, 2MASS J03443141+3211293,44989782467110,13.45,12.81,12.35, Q1JHK,1.34,,,,
112, 2MASS J03443165+3206534,44989782467087,13.52,12.87,12.40, Q2   ,0.50,,,,
113, 2MASS J03443183+3215464,44989782441416,14.36,13.27,12.65, Q2   ,1.17,,,,
114, 2MASS J03443184+3212441,44989782440424,14.67,13.41,12.70, Q2   ,3.05,,,,
115, 2MASS J03443219+3219364,44989782442665,14.54,13.81,13.35, Q2   ,0.79,,,,
116, 2MASS J03443237+3203274,44989782467023,14.83,14.07,13.47, Q2   ,2.26,n,LBP candidate (non-periodic?),,
117, 2MASS J03443280+3204133,44989782467009,13.63,12.97,12.48, Q1J  ,0.27,,,,
118, 2MASS J03443305+3214598,44989782441188,14.58,13.57,12.92, Q2   ,1.10,,,,
119, 2MASS J03443321+3212574,44989782440479,15.19,13.72,12.85, Q2   ,4.77,,,,
120, 2MASS J03443341+3210314,44989782466957,16.57,15.75,14.98, Q2   ,0.94,,,,
121, IC 348 IRS J03443369+3205467,44989782466948,17.44,16.72,16.02, Q2   ,-0.13,,,,
122, IC 348 IRS J03443370+3205207,44989782466947,18.04,17.38,16.89, Q2   ,-0.04,,,,
123, IC 348 IRS J03443405+3206569,44989782466938,14.01,13.33,12.72, Q2   ,0.32,,,,
124, 2MASS J03443444+3206250,44989782467278,13.33,12.60,12.09, Q2   ,1.53,,,,
125, IC 348 IRS J03443454+3202138,44989782466900,19.32,18.31,17.39, Q1K  ,0.17,,,,
126, 2MASS J03443487+3215002,44989782441193,17.00,16.22,15.54, Q2   ,0.20,,,,
127, 2MASS J03443501+3208573,44989782467210,14.81,14.14,13.65, Q0   ,0.48,,,,
128, 2MASS J03443545+3208563,44989782467209,13.19,12.39,11.81, Q0   ,0.49,,,,
129, 2MASS J03443551+3208046,44989782466860,13.55,12.80,12.30, Q2   ,0.05,,,,
130, 2MASS J03443569+3204527,44989782466854,13.67,13.08,12.62, Q2   ,0.37,,,,
131, 2MASS J03443593+3211175,44989782466818,15.73,15.06,14.50, Q2   ,0.54,,,,
132, 2MASS J03443595+3209243,44989782467207,13.84,13.11,12.61, Q1H  ,0.97,,,,
133, 2MASS J03443624+3213041,44989782440515,17.17,15.85,14.94, Q0   ,0.45,yes,double detection ruins data,,
134, 2MASS J03443638+3203054,44989782466801,16.61,15.90,15.21, Q2   ,3.10,,,,
135, 2MASS J03443661+3203442,44989782466778,16.56,15.74,15.01, Q0   ,-0.04,,,,
136, IC 348 IRS J03443678+3223285,44989782454995,13.98,13.27,12.74, Q2   ,0.83,,,,
137, 2MASS J03443687+3214363,44989782454977,15.63,14.37,13.57, Q2   ,0.65,yes,something bizarre happened here,,
138, 2MASS J03443698+3208342,44989782466756,12.97,12.11,11.61, Q2   ,1.76,,,,
139, 2MASS J03443732+3207111,44989782495852,13.93,12.96,12.40, Q2   ,0.40,,,,
140, IC 348 IRS J03443764+3208329,44989782495452,18.56,17.40,16.42, Q1HK ,5.16,,,,
141, 2MASS J03443777+3212181,44989782494471,12.84,12.03,11.62, Q0   ,1.86,,,,
142, 2MASS J03443814+3210215,44989782494976,14.34,13.68,13.22, Q2   ,0.25,,,,
143, 2MASS J03443886+3206364,44989782496011,13.95,13.30,12.82, Q2   ,0.28,,,,
144, 2MASS J03443896+3203196,44989782496786,14.12,13.41,12.86, Q2   ,6.49,,,,
145, 2MASS J03443918+3220089,44989782455288,12.60,11.89,11.43, Q2   ,2.50,,,,
146, 2MASS J03443920+3208136,44989782495569,14.81,14.06,13.45, Q2   ,0.78,,,,
147, IC 348 IRS J03443929+3214430,44989782455250,18.09,16.58,15.39, Q2   ,5.69,,,,
148, 2MASS J03443943+3210081,44989782495423,13.80,13.12,12.73, Q2   ,0.37,,,,
149, 2MASS J03444016+3209129,44989782495303,13.27,12.27,11.70, Q1JH ,0.45,,,,
150, 2MASS J03444024+3209331,44989782495300,13.92,13.00,12.43, Q1JH ,9.53,,,,
151, 2MASS J03444111+3208073,44989782495608,14.53,13.47,12.84, Q2   ,0.37,,,,
152, 2MASS J03444121+3206271,44989782496053,14.23,13.58,13.11, Q2   ,0.25,,,,
153, 2MASS J03444129+3210252,44989782494979,12.50,11.79,11.42, Q2   ,0.51,,,,
154, 2MASS J03444130+3204534,44989782496474,14.46,13.74,13.28, Q2   ,0.52,,,,
155, 2MASS J03444144+3213096,44989782455500,13.43,12.80,12.38, Q1J  ,1.42,,,,
156, 2MASS J03444157+3210394,44989782494896,15.35,14.69,14.22, Q2   ,0.85,,,,
157, IC 348 IRS J03444171+3217549,44989782455529,17.48,16.64,15.81, Q0   ,2.59,??,"a little weird, seems to want vetting",,
158, 2MASS J03444173+3212022,44989782494529,13.07,11.98,11.42, Q2   ,2.19,,,,
159, 2MASS J03444186+3217566,44989782455528,13.60,12.82,12.37, Q0   ,2.09,,,,
160, 2MASS J03444276+3208337,44989782495490,13.05,12.16,11.65, Q2   ,3.35,,,,
161, 2MASS J03444301+3215596,44989782455601,14.81,13.79,13.08, Q2   ,28.98,,honestly incredible doube-dipper,,
162, 2MASS J03444303+3210151,44989782495001,13.45,12.66,12.18, Q2   ,0.39,,,,
163, 2MASS J03444371+3210479,44989782494858,14.46,13.86,13.51, Q2   ,0.73,,,,
164, 2MASS J03444414+3219278,44989782455694,14.09,13.18,12.61, Q2   ,0.81,,,,
165, 2MASS J03444423+3208473,44989782495374,14.51,13.80,13.29, Q2   ,0.63,,,,
166, 2MASS J03444428+3210368,44989782494908,15.38,14.74,14.30, Q2   ,0.59,,,,
167, 2MASS J03444464+3207301,44989782495773,13.73,12.82,12.26, Q2   ,0.86,,,,
168, IC 348 IRS J03444496+3214113,44989782455770,15.83,14.66,13.83, Q0   ,2.77,,,,
169, 2MASS J03444495+3213364,44989782455767,12.57,11.80,11.34, Q1JHK,1.94,,,,
170, 2MASS J03444520+3201197,44989782497206,15.91,14.28,13.01, Q1JHK,2.52,,,,
171, 2MASS J03444522+3210557,44989782494816,14.46,13.71,13.18, Q2   ,1.10,,,,
172, 2MASS J03444554+3218198,44989782455821,15.24,14.43,13.77, Q2   ,0.76,,,,
173, 2MASS J03444564+3211106,44989782494748,15.03,14.36,13.93, Q2   ,0.33,,,,
174, 2MASS J03444593+3203567,44989782496664,15.15,14.35,13.76, Q2   ,0.71,,,,
175, 2MASS J03444658+3209017,44989782495326,15.36,14.48,13.87, Q2   ,0.52,,,,
176, 2MASS J03444882+3218464,44989782456888,14.03,13.22,12.63, Q2   ,0.57,,,,
177, IC 348 IRS J03444931+3209494,44989782495084,18.63,17.67,16.82, Q1HK ,0.12,,,,
178, 2MASS J03444978+3203340,44989782496748,13.10,12.40,12.00, Q2   ,0.58,,,,
179, IC 348 IRS J03445026+3206357,44989782495992,18.92,18.12,17.35, Q1K  ,0.27,,,,
180, IC 348 IRS J03445035+3152362,44989782451832,14.72,13.84,13.24, Q2   ,1.51,,,,
181, IC 348 IRS J03445053+3156575,44989782450934,17.97,17.08,16.29, Q2   ,0.09,,,,
182, 2MASS J03445148+3219540,44989782456898,16.19,15.39,14.73, Q2   ,0.29,,,,
183, IC 348 IRS J03445201+3159219,44989782450544,17.65,16.63,15.78, Q0   ,2.13,yes,double detection ruins data,,
184, 2MASS J03445274+3200565,44989782497264,12.58,11.86,11.49, Q2   ,1.40,,,,
185, 2MASS J03445535+3209344,44989782495183,13.61,12.77,12.29, Q2   ,0.51,,,,
186, 2MASS J03445591+3207266,44989782495785,13.74,12.98,12.57, Q2   ,0.92,,,,
187, 2MASS J03445672+3217036,44989782457164,15.22,13.88,13.01, Q2   ,13.00,,,,
188, IC 348 IRS J03445685+3154115,44989782451523,14.22,13.53,13.09, Q2   ,0.13,,,,
189, 2MASS J03445688+3220355,44989782457161,18.21,16.88,15.14, Q2   ,1.08,,,,
190, IC 348 IRS J03445735+3208354,44989782495453,18.00,17.10,16.32, Q2   ,0.34,,,,
191, 2MASS J03445771+3207416,44989782495708,14.27,13.63,13.09, Q2   ,0.73,,,,
192, 2MASS J03445785+3204016,44989782496654,13.47,12.82,12.43, Q2   ,1.43,,,,
193, IC 348 IRS J03445836+3218118,44989782457230,16.75,15.89,15.20, Q2   ,0.02,,,,
194, 2MASS J03445853+3158270,44989782450700,15.60,14.71,13.97, Q2   ,3.52,,,,
195, 2MASS J03445909+3210111,44989782495010,16.45,15.65,15.07, Q2   ,0.05,,,,
196, 2MASS J03445983+3213319,44989782457291,13.72,12.88,12.35, Q2   ,2.37,,,,
197, 2MASS J03445997+3222328,44989782457295,14.38,13.63,13.13, Q0   ,0.55,,,,
198, 2MASS J03450045+3203201,44989782496792,15.46,14.08,13.16, Q2   ,0.95,,,,
199, 2MASS J03450063+3208190,44989782495558,14.28,13.63,13.26, Q2   ,0.62,,,,
200, 2MASS J03450100+3212222,44989782494450,14.12,13.45,12.97, Q2   ,3.77,,,,
201, 2MASS J03450109+3202260,44989782496957,14.33,13.72,13.29, Q2   ,0.40,,,,
202, 2MASS J03450206+3159341,44989782497411,15.91,14.54,13.72, Q0   ,1.35,yes,double detection ruins data,,
203, 2MASS J03450285+3207006,44989782495911,12.72,12.00,11.56, Q2   ,1.01,,,,
204, IC 348 IRS J03450361+3212140,44989782494478,17.06,16.36,15.78, Q2   ,0.06,,,,
205, 2MASS J03450377+3221344,44989782457477,13.95,13.32,12.79, Q2   ,0.65,,,,
206, 2MASS J03450414+3205043,44989782496437,16.30,15.44,14.76, Q2   ,0.09,,,,
207, IC 348 IRS J03450417+3206031,44989782496169,18.22,17.54,16.84, Q2   ,-0.11,,,,
208, 2MASS J03450506+3157540,44989782450798,15.31,14.67,14.20, Q2   ,0.28,,,,
209, 2MASS J03450531+3212161,44989782494476,15.25,14.52,13.98, Q2   ,0.54,,,,
210, 2MASS J03450543+3203079,44989782496859,14.23,13.54,13.03, Q0   ,5.81,,,,
211, 2MASS J03450644+3159394,44989782497399,15.78,14.79,14.08, Q2   ,0.41,,,,
212, 2MASS J03450671+3209307,44989782495205,13.82,13.21,12.75, Q2   ,0.47,,,,
213, IC 348 IRS J03450885+3215471,44989782457693,18.17,17.23,16.36, Q2   ,-0.10,,,,
214, 2MASS J03451002+3204486,44989782496496,14.76,14.07,13.64, Q2   ,0.38,,,,
215, 2MASS J03451212+3209131,44989782495272,14.09,13.47,12.98, Q2   ,0.36,,,,
216, IC 348 IRS J03451284+3203362,44989782496728,17.97,17.20,16.48, Q2   ,0.16,,,,
217, 2MASS J03451307+3220053,44989782457939,14.93,14.03,13.40, Q2   ,4.39,,,,
218, 2MASS J03451433+3215528,44989782458010,14.62,13.75,13.22, Q2   ,1.41,,,,
219, 2MASS J03451507+3218215,44989782458072,13.57,12.64,12.06, Q2   ,0.63,,,,
220, 2MASS J03451604+3205140,44989782496404,19.45,15.73,13.44, Q1HK ,1.91,,,,
221, 2MASS J03451689+3206111,44989782496141,16.16,14.76,13.87, Q2   ,0.25,,,,
222, IC 348 IRS J03451765+3207553,44989782495656,18.31,17.31,16.40, Q2   ,0.16,,,,
223, 2MASS J03452106+3218178,44989782458378,12.84,11.91,11.41, Q0   ,1.93,,,,
224, 2MASS J03452212+3205450,44989782496268,17.34,16.16,15.22, Q2   ,0.07,,,,
225, 2MASS J03452390+3211544,44989782494562,15.32,14.56,13.95, Q2   ,0.35,,,,
226, 2MASS J03452509+3213164,44989782458592,15.56,14.77,14.20, Q2   ,0.57,,,,
227, IC 348 IRS J03452605+3217163,44989782459194,13.74,13.18,12.73, Q0   ,1.40,yes,"Pstar=0, erratic behavior",,
228, 2MASS J03452897+3217560,44989782458861,15.36,14.52,13.96, Q0   ,1.80,yes,"Pstar=0, erratic behavior",,
229, IC 348 IRS J03452901+3217551,44989782458863,15.46,14.52,13.77, Q0   ,2.57,??,"Pstar=0, erratic behavior, but possible EB",,
230, 2MASS J03452971+3159197,44989782450561,14.41,13.48,12.81, Q2   ,2.49,,,,
231, 2MASS J03453146+3212290,44989782494425,16.79,15.94,15.27, Q2   ,0.31,,,,
232, 2MASS J03453592+3214416,44989782459277,13.80,12.96,12.42, Q1JHK,2.20,,,,
233, 2MASS J03454360+3212317,44989782474172,15.59,15.04,14.57, Q0   ,0.90,n,,,
