Table B1 
Properties of Variables in the Perseus Molecular Cloud


Identifier	R.A.	Decl.	SPT	Disk ^a	CTTS ^b	$\left\langle r\right\rangle $	nu	Amplitude	Timescale	Q	M	Category	Angle	
2MASS J03311069+3049405	52.794563	30.827942	M4	Y	Y	16.17	0.0342	1.01	7.17	0.80	0.06	QPS	70.0	
2MASS J03311471+3049554	52.811291	30.832075	K4.2	Y	Y	16.53	0.0140	0.33	6.76	0.79	0.16	QPS	88.8	
2MASS J03311830+3049395	52.826286	30.827658	K3.8	Y	Y	14.61	0.0601	1.07	39.96	0.57	0.31	QPD	cdots	
2MASS J03314240+3106249	52.926704	31.106930	K6.6	Y	Y	17.29	0.0166	0.65	0.94	0.63	0.15	MP	cdots	
2MASS J03323300+3102216	53.137524	31.039352	M4.6	Y	Y	17.05	0.0636	1.32	5.15	0.73	0.47	QPD	74.0	
2MASS J03323405+3100557	53.141911	31.015488	K5.1	Y	Y	15.53	0.0132	0.32	0.57	0.89	-0.25	B	61.5	
Gaia EDR3 121147871936317184	53.372048	30.966361	K4	N	N	16.87	0.0065	0.28	3.07	0.66	-0.16	QPS	46.8	
2MASS J03333041+3110504	53.376736	31.180670	K4	Y	Y	13.82	0.0301	0.64	1.03	0.93	-0.27	B	64.4	
2MASS J03334692+3053500	53.445538	30.897247	M7.1	Y	cdots	18.23	0.0152	0.53	2.07	0.90	-0.47	B	49.9	
2MASS J03335108+3112278	53.462856	31.207733	M3.9	N	N	16.67	0.0082	0.28	6.73	0.59	-0.04	QPS	56.2	
2MASS J03340166+3114396	53.506939	31.244354	M0.5	Y	Y	15.37	0.0074	0.22	0.73	0.85	-0.10	B ^c	56.0	
2MASS J03343079+3113243	53.628304	31.223419	M4	Y	cdots	18.23	0.0104	0.57	1.47	0.81	-0.10	QPS	45.8	
2MASS J03344987+3115498	53.707813	31.263859	K5.8	Y	N	14.04	0.0070	0.14	1.66	0.75	0.03	QPS	46.0	
Gaia EDR3 120460024334304128	54.553027	31.074960	M3.7	N	N	16.59	0.0078	0.19	123.44	0.88	-0.12	L	49.6	
Gaia EDR3 217317549813446656	54.650193	31.653468	M1.8	N	N	15.35	0.0068	0.15	5.86	0.51	0.04	P ^c	97.9	
Gaia EDR3 120463116710737920	54.875402	31.110591	M4.2	N	N	17.12	0.0068	0.23	0.73	0.22	0.02	P	85.2	
2MASS J03404040+3137379	55.168335	31.627199	M5.9	N	N	17.97	0.0093	0.42	73.80	0.64	-0.08	QPS	48.3	
Gaia EDR3 217510376665297152	55.243254	32.506634	K5	N	N	13.91	0.0085	0.14	1.46	0.64	0.06	QPS	57.3	
Gaia EDR3 217458493460476928	55.310242	32.362894	M1.1	N	N	16.56	0.0162	0.48	8.64	0.11	0.51	P ^c	88.1	
Gaia EDR3 217347232331662976	55.324826	32.047493	M3.5	N	N	18.06	0.0067	0.52	1.04	-2.97	-0.24	U	43.9	
Gaia EDR3 216527894305651840	55.328058	31.237570	M2.3	N	N	16.02	0.0096	0.18	7.09	0.83	-0.18	QPS	64.4	
2MASS J03411921+3202037	55.330048	32.034370	K9.2	N	cdots	17.84	0.0379	0.91	1.20	0.88	0.71	APD	60.4	
Gaia EDR3 216585721745264896	55.360264	31.843630	K7	N	N	16.32	0.0078	0.28	2.91	0.68	0.07	QPS	44.7	
2MASS J03414251+3118567	55.427162	31.315769	K2.5	N	N	13.30	0.0120	0.13	2.94	0.62	0.27	QPD	61.1	
2MASS J03415745+3148365	55.489384	31.810162	K4.3	Y	Y	15.93	0.0112	0.32	2.24	0.25	-0.01	P	81.2	
Gaia EDR3 217444440327486848	55.492348	32.238318	G6	N	N	13.50	0.0055	0.15	3.87	0.64	-0.12	QPS	62.8	
2MASS J03422033+3205310	55.584732	32.091949	K7.4	Y	cdots	17.25	0.0225	0.67	7.31	0.71	0.81	QPD	69.3	
Gaia EDR3 216590016712558080	55.588347	31.953305	M2.5	N	N	17.25	0.0110	0.47	71.53	0.79	-0.24	L ^c	50.1	
2MASS J03422585+3221022	55.607746	32.350624	K6	N	cdots	17.05	0.0061	0.28	17.17	0.42	-0.16	P	cdots	
2MASS J03422824+3230479	55.617699	32.513313	K7.1	N	N	16.99	0.0122	0.42	4.34	0.23	0.41	P ^c	77.9	
2MASS J03423219+3143382	55.634144	31.727291	K4.1	N	N	17.27	0.0083	0.58	1.08	0.74	-0.11	QPS	46.9	
2MASS J03423291+3142205	55.637157	31.705711	K5	Y	Y	17.54	0.0376	0.79	0.98	0.86	0.79	QPD	54.7	
2MASS J03424360+3159150	55.681702	31.987524	K2	N	N	15.28	0.0080	0.18	0.69	0.77	-0.03	QPS	45.7	
2MASS J03425467+3143452	55.727802	31.729233	G3.8	N	N	14.38	0.0057	0.13	0.87	0.76	-0.06	QPS	56.0	
2MASS J03430214+3207276	55.758949	32.124344	M4.2	N	N	17.58	0.0078	0.38	18.28	0.85	-0.08	QPS	40.6	
2MASS J03430679+3148204	55.778292	31.805694	M3	Y	N	17.26	0.0067	0.46	6.10	0.64	-0.18	QPS	43.2	
2MASS J03430704+3210182	55.779369	32.171745	K6.2	N	N	16.60	0.0074	0.24	6.16	0.45	0.05	P	cdots	
2MASS J03431065+3235323	55.794384	32.592319	K5.9	N	N	16.87	0.0096	0.33	5.89	0.51	0.28	QPS ^c	68.0	
2MASS J03432438+3238316	55.851612	32.642117	K5.9	N	N	16.46	0.0063	0.28	1.32	0.37	0.07	P	75.8	
2MASS J03432774+3208314	55.865625	32.142139	M4	N	cdots	18.40	0.0101	0.62	1.12	4.30	-0.25	U	44.1	
2MASS J03432820+3201591	55.867583	32.033111	M1.8	Y	Y	15.56	0.0423	1.06	187.76	0.84	-0.02	L	67.6	
2MASS J03433205+3206172	55.883667	32.104833	M0.8	N	N	14.92	0.0062	0.17	5.54	0.73	0.11	QPS	60.4	
2MASS J03433299+3228027	55.887466	32.467442	K8	N	N	17.82	0.0088	0.54	11.82	0.38	-0.02	P	cdots	
Gaia EDR3 217475123573808000	55.895627	32.526988	G5	N	N	13.67	0.0074	0.13	0.85	0.60	0.23	QPS	48.5	
2MASS J03434461+3208177	55.935917	32.138306	M0.8	Y	Y	15.41	0.0135	0.29	19.52	0.68	0.07	QPS	78.1	
2MASS J03434788+3217567	55.949542	32.299139	M1.5	N	N	16.14	0.0099	0.30	9.68	0.35	0.07	P	86.0	
2MASS J03434792+3218461	55.949708	32.312861	M4	N	N	18.19	0.0089	0.54	0.96	0.26	-0.22	QPS ^c	46.8	
2MASS J03434862+3213507	55.952583	32.230806	M5	N	cdots	18.44	0.0090	0.54	0.64	0.39	-0.21	QPS ^c	43.6	
2MASS J03434875+3207332	55.953167	32.125944	M1.5	N	N	15.76	0.0061	0.18	0.97	0.80	-0.02	QPS	42.7	
2MASS J03434881+3215515	55.953375	32.264361	M4.5	Y	N	17.29	0.0082	0.37	2.88	0.15	-0.06	P	73.7	
2MASS J03434939+3210398	55.955792	32.177778	M3.5	N	cdots	16.64	0.0102	0.31	12.82	0.24	0.29	P ^c	92.7	
Gaia EDR3 216668803593749888	55.961863	31.905859	K3.6	N	N	15.51	0.0105	0.29	1.32	0.78	-0.20	QPS	73.8	
2MASS J03435141+3231486	55.964230	32.530193	K5.4	N	N	15.81	0.0077	0.18	3.75	0.44	-0.02	P	71.6	
Gaia EDR3 216520163364482560	55.972888	31.627645	K5	N	N	14.03	0.0087	0.16	1.22	0.84	0.17	QPS	52.1	
2MASS J03435463+3200298	55.977625	32.008361	M4.2	N	N	17.39	0.0061	0.33	179.91	0.45	-0.19	L	45.9	
2MASS J03435550+3209321	55.981292	32.159028	K0	N	N	13.93	0.0069	0.17	0.83	0.72	0.22	QPS	67.2	
2MASS J03435602+3202132	55.983458	32.037028	K7	Y	Y	17.65	0.0091	0.67	4.24	0.80	-0.09	QPS	48.5	
2MASS J03435619+3208362	55.984167	32.143417	M0	N	N	16.55	0.0066	0.24	3.90	0.72	-0.05	QPS	44.9	
2MASS J03435622+3230178	55.984280	32.504955	K5.2	N	N	16.09	0.0086	0.20	8.19	0.56	0.13	QPS	58.3	
2MASS J03435856+3217275	55.993958	32.291028	M3.8	Y	Y	16.31	0.0218	0.66	70.43	0.89	-0.17	S	63.0	
2MASS J03435890+3211270	55.995458	32.190861	M1.8	Y	Y	16.17	0.0337	1.06	6.75	0.74	0.19	QPS	61.3	
2MASS J03435907+3214213	55.996167	32.239250	M3.5	Y	cdots	17.57	0.0671	1.05	40.14	0.94	0.12	S	72.2	
2MASS J03435953+3215551	55.998125	32.265389	M1	N	cdots	17.31	0.0072	0.42	7.58	0.45	0.17	P	cdots	
2MASS J03435970+3214028	55.998833	32.234222	M0.8	N	N	15.80	0.0102	0.26	0.93	0.78	-0.10	QPS	76.3	
2MASS J03440216+3219399	56.009125	32.327806	M1.5	N	N	15.75	0.0115	0.34	6.10	0.28	0.38	P ^c	81.5	
2MASS J03440257+3201348	56.010792	32.026417	M4.8	N	N	17.33	0.0062	0.31	1.03	0.82	-0.03	QPS	42.2	
Gaia EDR3 216613999810965760	56.014317	31.655093	K7	N	N	16.55	0.0081	0.36	0.57	0.50	-0.07	QPS	55.2	
2MASS J03440410+3207170	56.017125	32.121417	M2	N	N	16.76	0.0071	0.25	10.06	0.35	0.23	P	81.6	
Gaia EDR3 216723568719908992	56.019145	32.468395	M3.3	N	N	18.12	0.0162	0.53	7.00	0.52	-0.03	QPS	44.0	
2MASS J03440499+3209537	56.020833	32.164944	K3.5	N	N	14.36	0.0065	0.13	22.15	0.79	-0.02	QPS	53.5	
2MASS J03440646+3143250	56.026955	31.723621	G0.4	N	N	13.99	0.0066	0.13	2.54	0.87	0.04	QPS	37.5	
2MASS J03440678+3207540	56.028292	32.131694	M4.2	Y	cdots	17.65	0.0072	0.43	179.91	0.74	-0.17	L	45.0	
2MASS J03440750+3204088	56.031292	32.069139	M4.8	Y	cdots	18.14	0.0101	0.57	76.79	0.88	-0.43	B	51.8	
2MASS J03440885+3216105	56.036917	32.269639	K0	N	N	14.49	0.0084	0.14	79.72	0.89	-0.07	S	50.2	
2MASS J03441122+3208161	56.046750	32.137861	M5.2	N	N	17.81	0.0106	0.40	0.68	0.79	-0.16	MP	38.8	
2MASS J03441125+3206121	56.046917	32.103361	M0	N	N	16.09	0.0080	0.22	10.47	0.48	0.04	QPS	50.1	
2MASS J03441143+3219401	56.047667	32.327806	M3	N	N	16.30	0.0069	0.21	3.31	0.68	-0.28	B	49.2	
2MASS J03441568+3231282	56.065353	32.524506	K5	N	N	14.57	0.0059	0.11	1.08	0.86	0.03	QPS	53.7	
2MASS J03441586+3218396	56.066125	32.310972	M4	N	cdots	17.98	0.0112	0.57	72.03	0.89	-0.26	B	47.7	
2MASS J03441642+3209552	56.068458	32.165333	K0	N	N	13.57	0.0061	0.16	1.50	0.58	0.01	QPS	54.9	
2MASS J03441791+3212203	56.074625	32.205667	M2.5	N	N	15.83	0.0123	0.24	4.39	0.40	0.12	P	88.7	
IC 348 IRS J03441827+3207325	56.076125	32.125694	M4.8	Y	cdots	18.69	0.0213	3.06	1.48	0.87	-0.72	B	cdots	
IC 348 IRS J03441925+3207347	56.080208	32.126306	M3.8	Y	N	16.98	0.0431	0.90	0.69	0.95	0.90	APD	cdots	
2MASS J03442001+3206455	56.083417	32.112667	M3.5	N	cdots	18.18	0.0151	0.78	8.69	0.15	0.10	P	cdots	
2MASS J03442017+3208565	56.084083	32.149056	M2	Y	cdots	17.04	0.0123	0.34	223.97	0.92	-0.30	L	45.3	
2MASS J03442023+3230228	56.084332	32.506344	K9.6	N	cdots	17.53	0.0550	2.73	1.89	0.96	0.15	S	cdots	
2MASS J03442125+3205024	56.088583	32.084000	M2.5	N	cdots	17.10	0.0105	0.38	6.87	0.67	0.08	QPS	49.2	
2MASS J03442155+3210174	56.089833	32.171500	M1.5	N	N	16.67	0.0163	0.53	7.09	0.17	0.28	P ^c	84.9	
2MASS J03442156+3215098	56.089833	32.252722	M4.8	Y	Y	17.43	0.0153	0.42	8.14	0.73	0.10	QPS	52.5	
2MASS J03442161+3210376	56.090042	32.177111	K7	Y	cdots	16.90	0.0551	1.48	7.40	0.88	0.14	QPS ^c	69.0	
2MASS J03442166+3206248	56.090250	32.106889	M2.8	N	cdots	16.56	0.0122	0.28	8.37	0.80	0.03	QPS	63.2	
2MASS J03442176+3212312	56.090667	32.208722	M3.5	N	cdots	17.22	0.0057	0.26	3.26	0.69	-0.05	QPS	42.7	
2MASS J03442186+3217273	56.091083	32.290917	M4.8	Y	cdots	17.96	0.0515	0.44	151.36	0.87	-0.80	L	cdots	
2MASS J03442191+3212115	56.091292	32.203222	M4	N	cdots	16.76	0.0073	0.23	0.93	0.83	-0.06	MP	46.3	
2MASS J03442228+3205427	56.092875	32.095194	K8	Y	cdots	16.59	0.0338	0.59	114.91	0.80	-0.41	L	95.3	
2MASS J03442232+3212007	56.093000	32.200222	M1	Y	Y	16.43	0.0245	0.90	192.20	0.74	-0.69	L	69.7	
2MASS J03442257+3201536	56.094042	32.031583	M2.5	Y	N	16.33	0.0109	0.28	44.67	0.49	-0.12	QPS	60.2	
2MASS J03442297+3211572	56.095750	32.199250	M2.2	N	cdots	16.38	0.0065	0.21	5.06	0.18	-0.05	P	78.9	
2MASS J03442356+3209338	56.098208	32.159444	M5	Y	cdots	18.33	0.0099	0.61	2.13	0.86	-0.31	B	45.9	
2MASS J03442366+3206465	56.098625	32.112944	M2.5	N	cdots	16.21	0.0113	0.29	9.71	0.29	-0.06	P	85.3	
2MASS J03442398+3211000	56.099958	32.183333	G0	N	cdots	12.89	0.0079	0.12	0.62	0.86	0.00	QPS	45.3	
2MASS J03442457+3203571	56.102375	32.065861	M1	N	cdots	17.38	0.0124	0.42	4.94	0.55	0.12	P ^c	cdots	
2MASS J03442457+3210030	56.102417	32.167472	M3.8	N	cdots	18.57	0.0338	0.92	1.16	0.96	-0.40	B	47.7	
2MASS J03442557+3212299	56.106542	32.208333	M0.5	N	N	15.23	0.0126	0.29	8.38	0.36	-0.47	P ^c	89.3	
2MASS J03442602+3204304	56.108458	32.075111	G8	Y	cdots	14.17	0.0272	0.45	71.67	0.84	0.69	QPD	70.1	
2MASS J03442663+3203583	56.110958	32.066 194	M4.8	N	cdots	16.71	0.0098	0.36	3.09	0.59	0.05	QPD ^c	53.0	
2MASS J03442702+3204436	56.112 583	32.078 778	M1	N	N	15.19	0.0061	0.16	8.99	0.55	-0.03	QPS	57.0	
2MASS J03442724+3214209	56.113 542	32.239167	M3.5	Y	cdots	18.31	0.0844	2.02	0.51	0.92	0.17	S	92.3	
2MASS J03442766+3233495	56.115276	32.563755	K6.4	N	N	16.26	0.0097	0.28	1.59	0.17	0.03	P	77.0	
2MASS J03442787+3207316	56.116167	32.125444	M2	N	cdots	16.11	0.0062	0.18	6.55	0.52	0.06	P ^c	cdots	
2MASS J03442789+3227189	56.116250	32.455194	M4	Y	Y	17.68	0.0340	1.18	30.64	0.89	0.00	S	61.7	
2MASS J03442812+3216002	56.117167	32.266750	M3.2	N	cdots	16.32	0.0096	0.29	2.67	0.13	0.07	P	88.5	
2MASS J03442847+3207224	56.118625	32.122889	K6.5	N	cdots	14.65	0.0121	0.27	6.99	0.21	-0.05	P	83.6	
2MASS J03442851+3159539	56.118792	31.998361	M3.5	Y	N	16.35	0.0070	0.26	25.25	0.70	0.19	QPS	60.5	
2MASS J03442912+3207573	56.121333	32.132611	M4.5	N	cdots	18.16	0.0072	0.45	0.80	0.69	0.00	QPS	44.1	
2MASS J03442972+3210398	56.123833	32.177722	K8	Y	cdots	15.91	0.0173	0.51	127.75	0.83	-0.01	L	65.8	
2MASS J03442997+3219227	56.124917	32.322972	M4	Y	N	17.50	0.0101	0.48	8.68	0.14	-0.23	P	cdots	
2MASS J03443054+3206297	56.127250	32.108250	M2	N	cdots	16.81	0.0450	1.56	3.52	0.91	-0.68	B	43.2	
2MASS J03443153+3208449	56.131375	32.145833	K2	N	cdots	13.25	0.0071	0.14	2.24	0.60	-0.08	QPS	40.4	
2MASS J03443259+3208424	56.135792	32.145139	M2.5	N	cdots	15.17	0.0065	0.15	110.73	0.79	0.08	L	38.7	
2MASS J03443274+3208374	56.136417	32.143750	G6	N	cdots	12.86	0.0081	0.14	2.60	0.83	0.01	QPS	42.9	
2MASS J03443276+3209157	56.136542	32.154389	M3.2	Y	cdots	16.87	0.0082	0.37	5.28	0.43	-0.09	P	cdots	
2MASS J03443321+3215290	56.138417	32.258083	M2.2	N	cdots	16.21	0.0062	0.18	1.04	0.84	-0.13	QPS	44.8	
2MASS J03443330+3209396	56.138792	32.161000	M2	Y	cdots	16.36	0.0402	1.50	0.90	0.93	0.32	APD	40.3	
2MASS J03443398+3208541	56.141583	32.148361	M0	N	N	15.02	0.0143	0.31	15.88	0.41	0.13	P	78.7	
2MASS J03443426+3210497	56.142792	32.180472	M2	N	cdots	16.73	0.0065	0.29	1.76	0.78	-0.18	QPS	45.1	
2MASS J03443481+3156552	56.145042	31.948667	M2.5	Y	Y	17.14	0.0120	0.43	3.48	0.59	0.10	QPS	cdots	
2MASS J03443487+3206337	56.145333	32.109333	K5.5	N	cdots	14.75	0.0086	0.22	5.47	0.23	-0.54	P ^c	cdots	
2MASS J03443498+3215311	56.145792	32.258639	M3.5	Y	cdots	18.12	0.0089	0.38	1.03	0.46	-0.52	B	cdots	
2MASS J03443503+3207370	56.146000	32.126917	K6.5	Y	cdots	14.35	0.0049	0.18	4.54	0.25	0.29	P ^c	cdots	
2MASS J03443537+3207362	56.147375	32.126694	M0	Y	cdots	16.40	0.0288	0.54	0.88	0.34	0.40	QPD ^c	cdots	
2MASS J03443568+3203035	56.148708	32.051000	M3.2	Y	cdots	18.34	0.0413	1.48	1.88	0.44	0.67	EYE	cdots	
2MASS J03443741+3209009	56.155875	32.150250	M1	Y	N	17.03	0.0503	0.88	0.89	0.72	0.81	QPD	cdots	
2MASS J03443788+3208041	56.157875	32.134500	K7	Y	cdots	16.17	0.0203	0.77	0.89	0.78	-0.19	QPS	64.3	
2MASS J03443798+3203296	56.158292	32.058278	K6	Y	Y	15.36	0.0676	1.54	1.13	0.64	0.13	QPS	81.4	
2MASS J03443800+3211370	56.158375	32.193639	M4	Y	cdots	18.02	0.0100	0.67	250.00	0.59	0.23	L	cdots	
2MASS J03443845+3207356	56.160292	32.126583	K6	Y	cdots	14.88	0.0163	0.43	5.22	0.09	0.23	P	85.1	
2MASS J03443854+3208006	56.160625	32.133528	M1.2	Y	Y	16.04	0.0148	0.42	7.52	0.19	0.21	P	90.6	
2MASS J03443878+3219056	56.161625	32.318222	M3.5	N	cdots	17.55	0.0089	0.38	4.84	0.27	-0.09	P	67.5	
2MASS J03443916+3209182	56.163250	32.155111	G8	N	N	13.78	0.0069	0.17	0.62	0.71	-0.19	QPS	43.4	
2MASS J03443919+3209448	56.163375	32.162417	M2	Y	cdots	17.04	0.0087	0.45	0.80	0.40	-0.06	P	cdots	
2MASS J03443924+3207355	56.163542	32.126528	K3	N	cdots	15.13	0.0269	0.85	118.63	0.64	0.72	L	88.2	
2MASS J03443979+3218041	56.165875	32.301167	M3.8	Y	Y	16.99	0.0145	0.44	7.90	0.48	-0.26	B	cdots	
2MASS J03443985+3215580	56.166083	32.266139	M3.5	N	cdots	18.28	0.0089	0.50	1.45	0.14	-0.04	P	cdots	
2MASS J03444011+3211341	56.167208	32.192861	K2	N	N	15.05	0.0070	0.16	2.13	0.50	-0.05	QPS	cdots	
2MASS J03444061+3223110	56.169209	32.386414	K5.2	N	N	16.85	0.0069	0.25	0.80	0.11	0.08	P	cdots	
2MASS J03444207+3209009	56.175083	32.150028	M4.2	Y	cdots	17.29	0.0159	0.57	0.60	0.81	-0.53	B	49.7	
IC 348 IRS J03444215+3209022	56.175625	32.150611	M2.5	Y	cdots	17.51	0.0424	1.15	0.97	0.78	0.19	MP	66.6	
2MASS J03444261+3206194	56.177625	32.105417	M1	N	cdots	15.30	0.0077	0.19	11.64	0.47	-0.05	QPS	cdots	
2MASS J03444351+3207427	56.181333	32.128611	M1	N	cdots	17.06	0.0096	0.49	1.14	0.65	0.17	QPS	46.0	
2MASS J03444376+3210304	56.182417	32.175167	M1.2	Y	cdots	16.35	0.0488	1.61	1.15	0.85	0.61	QPD	70.8	
2MASS J03444458+3208125	56.185792	32.136861	M2	Y	cdots	17.44	0.0290	0.82	1.39	0.80	0.16	QPS	47.1	
2MASS J03444472+3204024	56.186333	32.067417	M0.5	Y	Y	15.17	0.0198	0.65	0.55	0.86	-0.31	B	64.9	
2MASS J03444495+3213364	56.187417	32.226833	M4.8	N	cdots	17.89	0.0098	0.50	1.06	0.82	-0.20	MP	47.2	
2MASS J03444881+3213218	56.203458	32.222806	M2.8	N	N	17.01	0.0104	0.37	6.90	0.31	0.26	P ^c	76.6	
2MASS J03445096+3216093	56.212375	32.269333	M3.2	N	N	16.67	0.0111	0.27	12.15	0.60	0.09	QPS	49.4	
2MASS J03445274+3200565	56.219792	32.015778	M4.8	N	cdots	17.22	0.0075	0.30	10.22	0.83	-0.36	B	44.8	
2MASS J03445561+3209198	56.231792	32.155611	K4	N	N	16.34	0.0086	0.39	3.14	0.18	-0.01	P	77.3	
2MASS J03445611+3205564	56.233833	32.099083	M2.8	N	cdots	16.80	0.0071	0.22	3.31	0.66	-0.13	QPS	38.7	
